,author,statement,source,date,target,BinaryTarget,BinaryNumTarget
897,Warren Fiske,Merrick Garland “sicced the police on parents when they were at the school boards simply trying to be heard for the safety of their children.”,Winsome Earle-Sears,"May 23, 2022",false,FAKE,0
898,Ciara O'Rourke,"“Indiana woman charged for mail in voter fraud, delivered 400 ballots with Democrat box pre-checked.”",Viral image,"May 20, 2022",half-true,FAKE,0
899,Samantha Putterman,"Supreme Court Justice Clarence Thomas and his wife Ginni posted a photo of themselves enjoying a $5,135 bottle of wine “as American women despair about abortion rights being taken away from them.”",Tweets,"May 20, 2022",false,FAKE,0
900,Ciara O'Rourke,Video shows helicopters in Ukraine “being picked off in ambush - Short range air-to-air missile”,Facebook posts,"May 20, 2022",false,FAKE,0
901,Ciara O'Rourke,Video shows “Russian tank column totally destroyed by attack helicopter.”,Facebook posts,"May 20, 2022",false,FAKE,0
902,D.L. Davis,Says Gov. Tony Evers is “a big proponent of this defund the police movement.”,Rebecca Kleefisch,"May 20, 2022",false,FAKE,0
903,Tom Kertscher,"""David Perdue voted with liberals” for $10 trillion “in new debt, his out-of-control federal spending is driving inflation through the roof.""",Brian Kemp,"May 19, 2022",barely-true,FAKE,0
904,Madison Czopek,Says Fox News and Candace Owens tweeted that “New studies show that 68% of those who used ivermectin to treat or prevent covid are suffering long-term bowel and urinary incontinence.”,Facebook posts,"May 19, 2022",false,FAKE,0
905,Monique Curet,"“(Pfizer) says do not breastfeed. Baby formula shortages everywhere. Gates promotes brand new artificial breast milk technology. All within less than a 2 week period. …Nothing to see here.""",Facebook posts,"May 19, 2022",false,FAKE,0
906,Monique Curet,“Don't let this formula shortage scare you!!! Make your baby some hemp milk w/sea moss. It’s easy I promise!”,Facebook posts,"May 19, 2022",false,FAKE,0
907,Ciara O'Rourke,A photo of Ukrainians with paintball guns proves the war is staged.,Viral image,"May 19, 2022",pants-fire,FAKE,0
908,Amy Sherman,"Georgia Secretary of State Brad Raffensperger used ""$50 million of Zuckerberg money"" in 2020 to ""tip the scales.""",Jody Hice,"May 19, 2022",false,FAKE,0
909,Monique Curet,"""In Iran, if a 12-year-old girl is raped and impregnated by her father, she must carry the baby to term, or be thrown in prison for life. Wait, sorry, no, That's Alabama.""",Instagram posts,"May 19, 2022",false,FAKE,0
910,Louis Jacobson,Agriculture “is still the No. 1 sector of the economy” in Georgia.,Gary Black,"May 19, 2022",false,FAKE,0
911,Ciara O'Rourke,"Students in Wilkes County, North Carolina, “identify themselves as cats or ‘furries’” and “have asked for litter boxes to be placed in school restrooms for them to use.”",Facebook posts,"May 19, 2022",pants-fire,FAKE,0
912,Jon Greenberg,“The Biden administration is bringing amendments that would propose that all nations of the earth cede their sovereignty over national health care decisions to the WHO.”,Michele Bachmann,"May 19, 2022",false,FAKE,0
913,Ciara O'Rourke,"News interview proves that the Buffalo, New York supermarket shooting was staged.",Instagram posts,"May 19, 2022",pants-fire,FAKE,0
914,Ciara O'Rourke,“Soldiers destroyed Russian tank with NLAW in ambush.”,Viral image,"May 19, 2022",false,FAKE,0
915,Madison Czopek,The U.S. government’s inaction over buffalo killing that harmed Native American populations in the 1800s shows it is now “is creating food shortages” so that Americans are more “dependent on the government.”,Facebook posts,"May 19, 2022",false,FAKE,0
916,Nusaiba Mizan,"""Under Greg Abbott, property taxes have gone up $20 billion.""",Beto O'Rourke,"May 19, 2022",mostly-true,FAKE,0
917,Ciara O'Rourke,Goat’s milk is a good substitute for baby formula.,Facebook posts,"May 19, 2022",false,FAKE,0
918,Ciara O'Rourke,“Breaking: Democrats introduce bill to put Americans in quarantine camps.”,Bloggers,"May 18, 2022",pants-fire,FAKE,0
919,Monique Curet,“Due to the baby formula shortage Tricare will now pay to have it shipped directly to you.”,Facebook posts,"May 18, 2022",half-true,FAKE,0
920,Amy Sherman,The problem with mail ballots in Lancaster County is a sign of “voter fraud.”,Tweets,"May 18, 2022",false,FAKE,0
921,Ciara O'Rourke,Photo from “data leak at Elon Musk AND NASA … are said to be from one of Elon Musk’s Space-X satellites.”,Viral image,"May 18, 2022",false,FAKE,0
922,Ciara O'Rourke,"CBS News reported that two more suspects were arrested in the Buffalo shooting, and that one more victim was identified.",Viral image,"May 18, 2022",false,FAKE,0
923,Samantha Putterman,"“79% of Planned Parenthood clinics are in minority neighborhoods. This is not by accident. That is by its founder, Margaret Sanger's, eugenicist design.""",Candace Owens,"May 18, 2022",barely-true,FAKE,0
924,Ciara O'Rourke,A recent photo shows the “Russian Orthodox Church blessing a rocket called Satan.”,Facebook posts,"May 18, 2022",false,FAKE,0
925,Gabrielle Settles,"The mass shooting in Buffalo, New York was a “false flag event.”",Tweets,"May 18, 2022",pants-fire,FAKE,0
926,Maria Ramirez,“The vast majority of individuals that we’re releasing out are not showing up for hearings.”,James Lankford,"• May 17,",false,FAKE,0
927,Ciara O'Rourke,Your state will send you free infant formula if you call Enfamil and Similac customer service numbers.,Facebook posts,"May 17, 2022",false,FAKE,0
928,Ciara O'Rourke,Amazon will ship baby formula to U.S. addresses if you change your preferred country on its website from the U.S. to Canada.,Facebook posts,"May 17, 2022",barely-true,FAKE,0
929,Bill McCarthy,"A reporter who covered the Buffalo supermarket shooting was a ""crisis actor.""",Instagram posts,"May 17, 2022",pants-fire,FAKE,0
930,Monique Curet,Donations of baby formula to Ukraine helped cause the current U.S. shortage.,Facebook posts,"May 17, 2022",false,FAKE,0
931,Louis Jacobson,"“When unemployment goes down, inflation goes up.”",Nancy Pelosi,"May 17, 2022",barely-true,FAKE,0
932,Ciara O'Rourke,Images show Joe Biden surrounded by U.S. Marshals.,Facebook posts,"May 17, 2022",false,FAKE,0
933,Ciara O'Rourke,Mark Zuckerberg was arrested.,Facebook posts,"May 17, 2022",pants-fire,FAKE,0
934,Yacob Reyes,"“Disney stock is down more than 70% and attendance is down more than 55%! 10.1 million people canceled their Disney+ subscription.""",Facebook posts,"May 17, 2022",false,FAKE,0
935,Ciara O'Rourke,No planes are visible in footage of the 9/11 attack.,Viral image,"May 17, 2022",pants-fire,FAKE,0
936,Tom Kertscher,"Kathy Barnette ""pretends she's America First, but repeatedly attacked President Trump.""",Our American Century,"May 17, 2022",half-true,FAKE,0
937,Laura Schulte,"“Title 42 has fueled the border crisis. In 2019, 7 percent of illegal border crossings were repeated crossings. Today the rate is 27 percent.”",Tom Nelson,"May 17, 2022",half-true,FAKE,0
938,Jon Greenberg,“Democrats want open borders so they can bring in and amnesty tens of millions of illegal aliens — that’s their electoral strategy.”,Blake Masters,"May 16, 2022",false,FAKE,0
939,Tom Kertscher,Says she never tweeted comments linking pedophilia and Islam.,Kathy Barnette,"May 16, 2022",pants-fire,FAKE,0
940,Madison Czopek,"“We have 76% of Americans living paycheck to paycheck, meaning they are one paycheck away from poverty.”",Facebook posts,"May 16, 2022",barely-true,FAKE,0
941,Monique Curet,Suggests Megan Thee Stallion was not shot in the foot.,Facebook posts,"May 16, 2022",false,FAKE,0
942,Ciara O'Rourke,“Finland joins NATO.”,Facebook posts,"May 16, 2022",barely-true,FAKE,0
943,Gabrielle Settles,The NewProfilePic app is Russian spyware.,Facebook posts,"May 16, 2022",false,FAKE,0
944,Paul Specht,"State Sen. Kirk deViere voted against Medicaid expansion, the governor’s budget and teacher raises.",North Carolina Futures Action Fund,"May 16, 2022",false,FAKE,0
945,Louis Jacobson,“When President Biden took office … there was no vaccine available.”,Joe Biden,"May 16, 2022",false,FAKE,0
946,Ciara O'Rourke,“Your government quietly confirmed the fully vaccinated are developing Acquired Immunodeficiency Syndrome.”,Viral image,"May 16, 2022",pants-fire,FAKE,0
947,Ciara O'Rourke,Photos of the alleged Buffalo shooting gunman show two different people.,Facebook posts,"May 16, 2022",pants-fire,FAKE,0
948,Yacob Reyes,“It costs more to live in many Florida cities than New York City.”,Charlie Crist,"May 16, 2022",half-true,FAKE,0
949,Jon Greenberg,"“Kathy Barnette wants to build a statue of Barack Obama right next to the one of Abraham Lincoln on Capitol Hill.""",USA Freedom Fund,"May 13, 2022",mostly-true,FAKE,0
950,Madison Czopek,Says the Biden administration is choosing to send baby formula to the border as one of its “out-of-touch priorities.”,Greg Abbott,"May 13, 2022",barely-true,FAKE,0
951,Louis Jacobson,Joe Biden “inherited inflation of 1.7%. Now we're well over 8% and growing.”,Kathy Barnette,"May 13, 2022",mostly-true,FAKE,0
952,Monique Curet,Homemade baby formula recipes offer a ‘viable option’ during U.S. shortage,Facebook posts,"May 13, 2022",false,FAKE,0
953,Jon Greenberg,“We’re one of the seven nations in the world that allow abortion on demand at 20 weeks.”,Lindsey Graham,"May 13, 2022",half-true,FAKE,0
954,Louis Jacobson,“Agriculture is the No. 1 industry here in Pennsylvania.”,Kathy Barnette,"May 13, 2022",false,FAKE,0
955,Louis Jacobson,"“My Treasury Department is planning to pay down the national debt this quarter, which never happened under my predecessor.”",Joe Biden,"May 13, 2022",half-true,FAKE,0
956,Monique Curet,Says people can follow a 1960 recipe for homemade baby formula as a workaround during the current shortage.,Facebook posts,"May 13, 2022",false,FAKE,0
957,Alan Hovorka,"The Biden administration has been ""recklessly releasing potentially dangerous Afghans into our communities.""",Tom Tiffany,"May 13, 2022",barely-true,FAKE,0
958,Monique Curet,Suggests Amber Heard snorted cocaine while on the stand in court.,Facebook posts,"May 12, 2022",pants-fire,FAKE,0
959,Samantha Putterman,The infant formula shortage was purposely created because Mark Zuckerberg and Bill Gates invested in artificial breast milk.,Facebook posts,"May 12, 2022",false,FAKE,0
960,Tom Kertscher,"""Kari Lake has been appearing at rallies with neo-Nazis,"" while ""two federal juries have found"" Katie Hobbs ""guilty of racial discrimination.""",Aaron Lieberman,"May 12, 2022",barely-true,FAKE,0
961,Yacob Reyes,"“Is ANYONE asking how Ron DeSantis was worth $340,000 in 2020 and is now worth $52 million?""",Tweets,"May 12, 2022",false,FAKE,0
962,Gabrielle Settles,"An adenovirus is a combination of viruses, gastrointestinal virus, pneumonia and COVID-19 mixed together to “kill our children.”",Facebook posts,"May 12, 2022",false,FAKE,0
963,Warren Fiske,“CO2 is not a pollutant.”,Suburban Virginia Republican Coalition,"May 12, 2022",false,FAKE,0
964,Samantha Putterman,Supreme Court Justices Amy Coney Barrett and Samuel Alito said that the U.S. needs a “domestic supply of infants” to meet the needs of parents seeking to adopt.,Facebook posts,"May 12, 2022",false,FAKE,0
965,Monique Curet,"Says photo shows ""one of Tesla's lithium supply mines where entire mountains are eliminated.""",Facebook posts,"May 11, 2022",false,FAKE,0
966,D.L. Davis,"Because of U.S. Senate rules, Democrats need ""more than a majority ... to codify Roe vs. Wade.""",Kelda Helen Roys,"May 11, 2022",true,REAL,1
967,Jeff Cercone,"Video shows abortion rights activist urging women to ""run on down to the abortion clinic"" if they get pregnant.",Facebook posts,"May 11, 2022",false,FAKE,0
968,Tom Kertscher,Mehmet Oz is “pro-abortion.”,Dave McCormick,"May 11, 2022",barely-true,FAKE,0
969,Monique Curet,"Says photo shows ""the sharpest image of the sun ever recorded.""",Facebook posts,"May 11, 2022",false,FAKE,0
970,Monique Curet,"Says video shows ""Ukrainian forces shoot down Russian plane carrying hundreds (of) troops on Kyiv airport.""",Facebook posts,"May 10, 2022",false,FAKE,0
971,Monique Curet,"""148th Kentucky Derby winner Rich Strike jockey Sonny Leon just turned down a White House invite, saying 'If I wanted to see a horse's ass, I would have came (sic) in second.’""",Facebook posts,"May 10, 2022",pants-fire,FAKE,0
972,Monique Curet,"Margaret Sanger, founder of Planned Parenthood, referred to Black women as weeds that needed to be plucked from their garden, and was a supporter of the Ku Klux Klan and a Democrat.",Peggy Hubbard,"May 10, 2022",false,FAKE,0
973,D.L. Davis,"The state crime lab under Attorney General Josh Kaul ""is testing significantly less items than former AG Brad Schimel and is still taking longer to test many categories of key items in comparison to Schimel, including DNA.""",Eric Toney,"May 10, 2022",true,REAL,1
974,Lyle Muller,"“Senator Grassley hopped off the Finance Committee, where he could be helpful to Iowa and the nation, in favor of the Judiciary Committee""",Mike Franken,"May 9, 2022",false,FAKE,0
975,Jeff Cercone,"""GOP Sen. Marsha Blackburn has proposed that birth control should only be legal for MARRIED couples.”",Tweets,"May 9, 2022",false,FAKE,0
976,Samantha Putterman,"“Tennessee just banned Plan B and made it a crime punishable by a $50,000 fine to order it.”",Pam Keith,"May 9, 2022",false,FAKE,0
977,Nusaiba Mizan,"""In Texas, Republicans passed a law allowing rapists to sue their victims for getting an abortion.""",Alexandria Ocasio-Cortez,"May 9, 2022",false,FAKE,0
978,Samantha Putterman,Amber Heard plagiarized lines from the movie “The Talented Mr. Ripley” in her opening statement during the Johnny Depp libel trial.,Facebook posts,"May 9, 2022",false,FAKE,0
979,Jill Terreri,"When the New York State Senate voted to legalize abortion in 1970, 12 Republican senators voted in favor of it.",Andrea Stewart-Cousins,"• May 7,",true,REAL,1
980,Bill McCarthy,"When there is “a noose on a college dorm of a Black student” or a racial slur “on a dormitory building, the odds are overwhelming that a Black student actually did that.""",Dennis Prager,"May 6, 2022",false,FAKE,0
981,Sara Swann,“If you earn $100 and pay $33 income tax you’re left with $67. You then buy $67 worth of fuel and in doing so pay a 48% fuel tax (fuel tax = $32.16 + $6.70 GST). This means that the government just got $71.86 tax from your hard earned $100.”,Facebook posts,"May 6, 2022",barely-true,FAKE,0
982,Samantha Putterman,“Military Arrests Biden’s Sec. of Agriculture Tom Vilsack.”,Bloggers,"May 6, 2022",pants-fire,FAKE,0
983,Elizabeth Egan,“New York leads the U.S. in population loss.”,Lee Zeldin,"May 6, 2022",true,REAL,1
984,Monique Curet,“Roe v. Wade happened because a woman lied about being raped by black men.”,Facebook posts,"May 6, 2022",false,FAKE,0
985,Samantha Putterman,“mRNA Vaccines Show No Mortality Benefit - Danish Study”,YouTube videos,"May 6, 2022",false,FAKE,0
986,Madeline Heim,"Says Gov. Tony Evers ""wanted to increase your taxes by $1 billion just for heating your homes. Instead, Republicans cut your taxes by more than $2 billion.""",John Macco,"May 6, 2022",half-true,FAKE,0
987,Monique Curet,“Space X’s Starlink internet constellation has angered Russia as it was reported that the Starlink satellite constellation was used to guide the fire” on the Russian ship Moskva.,Facebook posts,"May 5, 2022",false,FAKE,0
988,Gabrielle Settles,Says JFK. Jr is masquerading as QAnon promoter Juan O. Savin.,Facebook posts,"May 5, 2022",pants-fire,FAKE,0
989,Jon Greenberg,“Republicans DO NOT want to throw doctors” in jail.,National Republican Senatorial Committee,"May 5, 2022",pants-fire,FAKE,0
990,Vivian Lam,"""Pfizer tries to hide 2.4K full-time hires handling vax injuries.""",One America News,"May 5, 2022",barely-true,FAKE,0
991,Warren Fiske,"“Justices Gorsuch, Kavanaugh, and Barrett assured the Senate Judiciary Committee and the American people that Roe v. Wade was ‘established precedent.’”",Don Beyer,"May 5, 2022",mostly-true,FAKE,0
992,Yacob Reyes,"“The student debt that is out there, almost 60% of it is graduate school debt.”",Ron DeSantis,"May 5, 2022",barely-true,FAKE,0
993,Madison Czopek,"“There has never been a leak anything like this” draft of a Supreme Court opinion that would overturn Roe v. Wade. “There’s never been a leak of a vote — much less an actual opinion, much less in a case of this significance.”",Jeffrey Toobin,"May 4, 2022",mostly-true,FAKE,0
994,Monique Curet,NBC News “covered up Hunter Biden laptop story.”,Elon Musk,"May 4, 2022",false,FAKE,0
995,Sara Swann,“There are 63 million abortions a year in this country.”,Jeanine Pirro,"May 4, 2022",false,FAKE,0
996,Jill Terreri,"“A STOLEN ELECTION: State totals minus illegal ballot trafficking numbers give President Trump decisive victories in AZ, GA, MI, PA, and WI.”",The Gateway Pundit,"• May 4,",false,FAKE,0
997,Monique Curet,“White House physician demands Biden’s immediate resignation following his ‘obvious’ cognitive decline.”,Facebook posts,"May 3, 2022",false,FAKE,0
998,Madison Czopek,“Paying taxes is optional!!”,Facebook posts,"May 3, 2022",pants-fire,FAKE,0
999,Sara Swann,“Canada’s new law allows government to take children away if parents don’t accept kids’ ‘gender identity.’”,Instagram posts,"May 3, 2022",false,FAKE,0
1000,Bill McCarthy,"Conservatives gained Twitter followers after the company announced its deal with Elon Musk because ""Twitter lifted a broad anti-conservative, anti-Trump shadow ban.”",Sean Hannity,"May 2, 2022",false,FAKE,0
1001,Samantha Putterman,Images show the Ukrainian flag being replaced by the Soviet Union flag in Mariupol in 2022.,Instagram posts,"May 2, 2022",false,FAKE,0
1002,Ciara O'Rourke,Jackie Chan is dead.,Facebook posts,"May 2, 2022",pants-fire,FAKE,0
1003,Andy Nguyen,“The President of Ukraine owns a $35 million home in Florida and has $1.2 billion in a overseas bank account.”,Facebook posts,"May 2, 2022",false,FAKE,0
1004,Maria Ramirez,Sen. Mark Kelly voted “for benefits to illegals.”,National Republican Senatorial Committee,"• May 2,",false,FAKE,0
1005,Tom Kertscher,"Matt Dolan sponsored Michael Bloomberg's “red-flag gun confiscation law, letting the people reporting your social media posts send SWAT teams to your house to take your guns.""",Ohio Gun Owners,"May 2, 2022",false,FAKE,0
1006,Analisa Trofimuk,We’ve reduced crime to its lowest level in 27 years.,Keith Pekau,"May 1, 2022",true,REAL,1
1007,Jill Terreri,"Since taking office, Hochul has passed more than 400 new bills",Kathy Hochul,"• April 30,",true,REAL,1
1008,Ciara O'Rourke,"The “Franklin scandal” broke in 1989 “when hundreds of children were apparently flown around the US to be abused by high ranking ‘Establishment’ members.""",Facebook posts,"April 29, 2022",false,FAKE,0
1009,Madison Czopek,"“Tylenol is the #1 cause of acute liver failure in the US with 27% of people dying & kills at least 100,000 per year from its use.”",Facebook posts,"April 29, 2022",false,FAKE,0
1010,Ciara O'Rourke,“Hillary Clinton is in jail at Gitmo at the moment.”,Facebook posts,"April 29, 2022",pants-fire,FAKE,0
1011,Ciara O'Rourke,“Elon Musk just fired the entire Twitter board of directors.”,Facebook posts,"April 29, 2022",false,FAKE,0
1012,Ciara O'Rourke,“Italian football agent Mino Raiola has died after suffering from an illness.”,Facebook posts,"April 29, 2022",false,FAKE,0
1013,Yacob Reyes,"Elon Musk tweeted, “The fact that an 18 year old can't take out a $10,000 business loan” but “can take out a $100,000 student loan tells you everything you need to know.”",Facebook posts,"April 29, 2022",false,FAKE,0
1014,D.L. Davis,"Cannabis reform ""is supported by the majority of the residents of our state, including a majority of Republicans.""",Melissa Agard,"April 29, 2022",true,REAL,1
1015,Samantha Putterman,“Biden to teachers: ‘They're not somebody else's children. They're yours when you're in the classroom.’”,Republican National Committee,"April 28, 2022",false,FAKE,0
1016,Ciara O'Rourke,“Alkaline foods” can heal the body of cancer.,Facebook posts,"April 28, 2022",false,FAKE,0
1017,Ciara O'Rourke,"“Disneyland estates have been used for MK-ULTRA mind control, human trafficking, occult rituals, and parading sexual deviants.”",Viral image,"April 28, 2022",false,FAKE,0
1018,Jon Greenberg,"Says J.D. Vance said, “People who voted for Trump voted for him for racist reasons.”",Club for Growth,"April 28, 2022",false,FAKE,0
1019,Ciara O'Rourke,"“War Begins — F-35, F-16 and MiG-29 NATO intercept and destroy Russia Jets in Polish air space.”",Facebook posts,"April 28, 2022",false,FAKE,0
1020,Jeff Cercone,"""With 40 billion dollars, Elon Musk could have given each of the 330M people living in America a million dollars and still had $7B left over.”",Facebook posts,"April 28, 2022",false,FAKE,0
1021,Madison Czopek,“The Red Cross sells your donated blood to hospitals for $150 and then that hospital charges you thousands for a blood transfusion.”,Facebook posts,"April 28, 2022",mostly-true,FAKE,0
1022,Ciara O'Rourke,Wearing foot patches can help adults grow inches in weeks.,Facebook posts,"April 28, 2022",false,FAKE,0
1023,Ciara O'Rourke,A video shows “satanic death cult high priestess” Oprah Winfrey condoning and promoting “pedophilia and sex trafficking.”,Facebook posts,"April 28, 2022",false,FAKE,0
1024,Jeff Cercone,"Blinken, Austin trip to Kyiv may have been staged",Michael Savage,"April 28, 2022",false,FAKE,0
1025,Tom Kertscher,Mehmet Oz “was a spokesman for a group who wanted to defund the police.”,Pennsylvania Conservative Fund,"April 28, 2022",false,FAKE,0
1026,Bill McCarthy,Elon Musk suspended Bill Gates from Twitter.,Tweets,"April 27, 2022",false,FAKE,0
1027,Ciara O'Rourke,Photo of unbroken windows proves war in Ukraine is fake.,Viral image,"April 27, 2022",pants-fire,FAKE,0
1028,Yacob Reyes,“DeSantis erases Disney’s tax exempt law. Will cost Disney $200 Mil in taxes. Per year!”,Facebook posts,"April 27, 2022",false,FAKE,0
1029,Elizabeth Egan,"In 2021, “11,201 pounds of fentanyl were seized by Customs and Border Protection, which is enough to kill every American nearly seven times over.”",Claudia Tenney,"April 27, 2022",mostly-true,FAKE,0
1030,Vanessa Swales,"""Ron Johnson pushed through a special tax loophole that benefited his own family's business … Then he cashed out of the company for $5 million … (he has) doubled his wealth since taking office.""",Opportunity Wisconsin,"April 27, 2022",half-true,FAKE,0
1031,Ciara O'Rourke,“Marines are investigating 3 ancient pyramids discovered in Antarctica.”,Bloggers,"April 27, 2022",false,FAKE,0
1032,Ciara O'Rourke,You can “reverse HIV naturally.”,Facebook posts,"April 27, 2022",false,FAKE,0
1033,Luiz Romero,"“Congratulations to Ruben, knighted by the Queen. Now goes by the name, Sir Ruben.”",Facebook posts,"April 27, 2022",false,FAKE,0
1034,Bill McCarthy,Videos show that Ukraine President Volodymyr Zelenskyy uses cocaine.,Facebook posts,"April 26, 2022",pants-fire,FAKE,0
1035,Ciara O'Rourke,Says a Fox New chyron said the Snickers candy bar is changing its texture because of “cancel culture.”,Viral image,"April 26, 2022",false,FAKE,0
1036,Ciara O'Rourke,“The same system that kept you in the dark about Ghislaine Maxwell…doesn’t mind live-streaming Johnny Depp’s trial.”,Viral image,"April 26, 2022",false,FAKE,0
1037,Paul Specht,"Former Gov. Pat McCrory appointed liberals to the North Carolina Textbook Commission, which “mandated textbooks” pushing critical race theory.",School Freedom Fund,"April 26, 2022",barely-true,FAKE,0
1038,Amy Sherman,A consent decree approved by Gov. Brian Kemp “invalidated all voter ID law” and “allowed fraudulent ballots to be accepted” in the 2020 race.,David Perdue,"April 26, 2022",pants-fire,FAKE,0
1039,Jeff Cercone,Fires at food processing plants are an “attempt to starve us.”,Facebook posts,"April 26, 2022",false,FAKE,0
1040,Jeff Cercone,Hepatitis outbreak in kids may be related to Johnson & Johnson COVID-19 vaccine.,Instagram posts,"April 26, 2022",false,FAKE,0
1041,Samantha Putterman,“Finnish Court rules sex with children is permitted.”,Instagram posts,"April 26, 2022",false,FAKE,0
1042,Nusaiba Mizan,"""We have (people detained by ICE) that have to be seen within 24 hours, while veterans are seen within months.",Tim Westley,"April 25, 2022",false,FAKE,0
1043,Bill McCarthy,A video shows the Russian warship Moskva exploding.,TikTok posts,"April 25, 2022",false,FAKE,0
1044,Bill McCarthy,“The White House presented commemorative coins” dedicated to Ukraine President Volodymyr Zelenskyy.,Facebook posts,"April 25, 2022",false,FAKE,0
1045,Samantha Putterman,Bath and Body Works products are not recommended during pregnancy because they are suspected of “damaging fertility or the unborn child.”,Facebook posts,"April 22, 2022",false,FAKE,0
1046,Paul Specht,“Most Americans favor keeping Title 42 in place.”,Thom Tillis,"April 22, 2022",half-true,FAKE,0
1047,Amy Sherman,Brian Kemp and Secretary of State Brad Raffensperger “perhaps in collusion with the Radical Left Democrats” are attempting to “unseat” U.S. Rep. Marjorie Taylor Greene.,Donald Trump,"April 22, 2022",false,FAKE,0
1048,Louis Jacobson,"""For four years, I was a full professor at the University of Pennsylvania.""",Joe Biden,"April 22, 2022",half-true,FAKE,0
1049,Tom Kertscher,“J.D. Vance called for higher taxes.”,Mike Gibbons,"April 22, 2022",half-true,FAKE,0
1050,Tom Kertscher,"""As Ohio treasurer, Josh Mandel loaned your money to Chinese business interests, and Mandel opposed a bill holding Communist China accountable when they cheated and stole American jobs.""",Mike Gibbons,"April 22, 2022",barely-true,FAKE,0
1051,Yacob Reyes,Says he has “always” believed “in a woman’s right to choose.”,Charlie Crist,"April 22, 2022",false,FAKE,0
1052,Monique Curet,Dr. Anthony Fauci said lockdowns are a method for coercing people to comply with COVID-19 vaccinations.,Facebook posts,"April 22, 2022",false,FAKE,0
1053,Laura Schulte,“Inflation has gone up every month of the Biden presidency and just hit another 40-year high.”,Mike Gallagher,"April 22, 2022",mostly-true,FAKE,0
1054,Monique Curet,"""America (is) trying to overthrow the Ukraine government just as the shadow government has infiltrated and overthrown the US government.""",Facebook posts,"April 22, 2022",false,FAKE,0
1055,Monique Curet,"Lilibet, baby daughter of the Duke and Duchess of Sussex, ""made her first appearance with the queen.”",Facebook posts,"April 22, 2022",false,FAKE,0
1056,Monique Curet,Arnold Schwarzenegger slept on the ground in front of a bronze statue of himself because he had been turned away from a hotel.,Facebook posts,"April 22, 2022",false,FAKE,0
1057,Colleen DeGuzman,“The price of insulin increases as waistlines increase.”,Matt Gaetz,"April 21, 2022",false,FAKE,0
1058,Samantha Putterman,A Reddit post shows a parent admitting to forcing their child to continue transitioning by sneaking hormone medication.,Tweets,"April 20, 2022",false,FAKE,0
1059,Monique Curet,"Vladimir Putin “ended the Rothschild's control over Russia by nationalizing the Russian centralized bank.""",Facebook posts,"April 20, 2022",false,FAKE,0
1060,Jon Greenberg,"Joe Biden's spending “has sent prices skyrocketing.""",Jane Timken,"April 20, 2022",half-true,FAKE,0
1061,Louis Jacobson,"“While the initial increase in oil prices resulted in a near instantaneous increase in gas prices for consumers, the subsequent decrease in crude oil prices has failed to meaningfully provide relief for Georgia's families at the pump.”",Raphael Warnock,"April 20, 2022",mostly-true,FAKE,0
1062,Ciara O'Rourke,A photo shows students in Lviv celebrating Adolf Hitler’s birthday.,Tweets,"April 20, 2022",pants-fire,FAKE,0
1063,Ciara O'Rourke,“Hunter Biden arrested this morning.”,Facebook posts,"April 20, 2022",pants-fire,FAKE,0
1064,Luiz Romero,"After Russia invaded Ukraine, Google Maps “opened all military and strategic facilities in Russia.”",Facebook posts,"April 20, 2022",false,FAKE,0
1065,Ciara O'Rourke,Footage of the Bidens celebrating Easter at the White House is fake.,Facebook posts,"April 20, 2022",pants-fire,FAKE,0
1066,Ciara O'Rourke,"Vladimir Putin “released 35,000 children from tunnels and subway in Ukraine.”",Facebook posts,"April 20, 2022",pants-fire,FAKE,0
1067,Samantha Putterman,The Australian Technical Advisory Group on Immunisation advised that the COVID-19 vaccine may be given to patients under sedation for unrelated procedures without consent as a way to force compliance.,Instagram posts,"April 19, 2022",false,FAKE,0
1068,Bill McCarthy,"COVID-19 is a synthetic version of “snake venom” that evil forces are spreading through remdesivir, the COVID-19 vaccines and drinking water to “make you a hybrid of Satan.”","""Watch The Water""","April 19, 2022",pants-fire,FAKE,0
1069,Gabrielle Settles,"President Joe Biden was confused, “turned around and shook hands with thin air” after a speech.",Facebook posts,"April 19, 2022",false,FAKE,0
1070,D.L. Davis,"If Wisconsin Gov. Tony Evers ""had passed his (gas) tax increases ... fuel prices would be at least a dime higher.",Tony Kurtz,"April 19, 2022",mostly-true,FAKE,0
1071,Tom Kertscher,"Dave McCormick is ""liberal, pro-Biden, pro-China.""",Mehmet Oz,"April 19, 2022",false,FAKE,0
1072,Warren Fiske,"“They’re going to be giving these people who come across the border, giving them smartphones.”",Rob Wittman,"April 19, 2022",half-true,FAKE,0
1073,Jeff Cercone,"""No one visiting Disney can get in” because of protest.",Facebook posts,"April 19, 2022",false,FAKE,0
1074,Ciara O'Rourke,"“If your roommate catches HIV, you will be exposed to it and will probably contract it too, given long enough.”",Facebook posts,"April 19, 2022",false,FAKE,0
1075,Monique Curet,CNN tweeted about “brave children” in Ukraine signing up to fight Russia.,Instagram posts,"April 19, 2022",pants-fire,FAKE,0
1076,Ciara O'Rourke,Joe Biden’s comments prove that food shortages are being “done deliberately by the governments of the world.”,Viral image,"April 18, 2022",false,FAKE,0
1077,Monique Curet,March 2022 moon crash was orchestrated by the government and visible from Earth.,Facebook posts,"April 18, 2022",false,FAKE,0
